,economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,account,account_fin,account_mob,q2,q3,q4,q5,q6,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,q8i,q9,q10,q11,q12,q13,q14,q16,q17a,q17b,q17c,q18a,q18b,q20,q21a,q21b,q21c,q21d,q22a,q22b,q22c,q24,q25,q26,q27a,q27b,q27c,q27d,q28,q29a,q29b,q29c,q29d,q30,q31a,q31b,q31c,q32,q33a,q33b,q33c,q34,q35,q36a,q36bc,q36d,q37,q38,q39,q40a,q40bc,q40d,q41,q42,q43,q44a,q44b,q44c,saved,borrowed
mode,China,CHN,Sub-Saharan Africa,1112633472.0,,0.168108724709313,2.0,30.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
num_missing,0,0,17606,0.0,0.0,0.0,0.0,324.0,2.0,16.0,0.0,0.0,72390.0,0.0,85973.0,85973.0,0.0,118381.0,78673.0,78673.0,78673.0,78673.0,78673.0,78673.0,78673.0,78673.0,78673.0,68015.0,81547.0,68015.0,80830.0,97398.0,68015.0,0.0,0.0,0.0,0.0,0.0,31125.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,35333.0,31125.0,125216.0,125216.0,125216.0,125216.0,31125.0,120181.0,120181.0,120181.0,120181.0,0.0,61077.0,61077.0,61077.0,31125.0,120542.0,120542.0,120542.0,0.0,97709.0,97709.0,97709.0,97709.0,113646.0,113646.0,0.0,125229.0,125229.0,125229.0,132429.0,132429.0,31125.0,122732.0,122732.0,122732.0,0.0,0.0
