,pop_adult,wpid_random,wgt,female,age,educ,inc_q,account,account_fin,account_mob,q2,q3,q4,q5,q6,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,q8i,q9,q10,q11,q12,q13,q14,q16,q17a,q17b,q17c,q18a,q18b,q20,q21a,q21b,q21c,q21d,q22a,q22b,q22c,q24,q25,q26,q27a,q27b,q27c,q27d,q28,q29a,q29b,q29c,q29d,q30,q31a,q31b,q31c,q32,q33a,q33b,q33c,q34,q35,q36a,q36bc,q36d,q37,q38,q39,q40a,q40bc,q40d,q41,q42,q43,q44a,q44b,q44c,saved,borrowed
count,146688.0,146688.0,146688.0,146688.0,146364.0,146686.0,146672.0,146688.0,146688.0,74298.0,146688.0,60715.0,60715.0,146688.0,28307.0,68015.0,68015.0,68015.0,68015.0,68015.0,68015.0,68015.0,68015.0,68015.0,78673.0,65141.0,78673.0,65858.0,49290.0,78673.0,146688.0,146688.0,146688.0,146688.0,146688.0,115563.0,146688.0,146688.0,145688.0,146688.0,146688.0,146688.0,146688.0,146688.0,146688.0,111355.0,115563.0,21472.0,21472.0,21472.0,21472.0,115563.0,26507.0,26507.0,26507.0,26507.0,146688.0,85611.0,85611.0,85611.0,115563.0,26146.0,26146.0,26146.0,146688.0,48979.0,48979.0,48979.0,48979.0,33042.0,33042.0,146688.0,21459.0,21459.0,21459.0,14259.0,14259.0,115563.0,23956.0,23956.0,23956.0,146688.0,146688.0
mean,71640457.61343315,161011617.15964496,1.0034930481945998,1.5305273778359512,41.62007734142276,1.8391598380213516,3.1914816733936946,1.423027105148342,1.4381885362129145,1.926727502759159,1.5985970222513088,1.0662768673309726,1.2995470641521865,1.8211169284467714,1.156957642985834,1.8378151878262148,1.8084687201352643,1.8547820333749907,1.8908917150628537,1.972373741086525,1.4073072116444902,1.8823641843710945,1.832081158567963,1.7442917003602147,1.1883619539104902,1.3814648224620438,1.181815870756168,1.6887697773998602,1.6524041387705417,1.8688241200920266,1.833183355148342,1.885062172774869,1.8044898014834205,1.8160381217277486,1.766627126963351,1.898297898116179,1.870316590314136,1.8844281740837696,1.907370545274834,1.7692790139616057,1.9704406631762652,1.9308259707678883,1.8955401941535777,1.9433218804537522,2.365578643106457,2.1750168380405013,1.8283360591192683,1.3105905365126678,1.7085506706408347,1.8298714605067063,1.7654619970193741,1.7838841151579659,1.2611762930546648,1.7650054702531406,1.8560380276907986,1.777983174255857,1.4256517233856894,1.2758757636285056,1.6818516312156149,1.96620761350761,1.7877002154668882,1.1152375124301996,1.8729824829801882,1.973647976745965,1.6764220658813263,1.7050164356152637,1.630903040078401,1.3303864921701136,1.9897302925743685,1.861358271291084,1.7792506506870045,1.8642492910122164,1.7057644811034998,1.3399506034763968,1.9917517125681532,1.797811908268462,1.6935268952942002,1.8043058764483442,1.0609033227583904,1.9384705293037234,1.9647687426949407,1.4544270833333333,1.5720372491273997
std,219351316.9348137,28848421.849290617,0.6768638634975541,0.49906891022979416,17.686915766739414,0.7075202567055483,1.418668988497464,0.4940413316481912,0.4961663241375589,0.26058501940359496,0.5213082239194465,0.29969903664298053,0.4858768543145481,0.4262874607011633,0.38692129675495246,0.48595922649937023,0.5670021933819215,0.4665523542313976,0.47216937082509414,0.3682069468966641,0.5725430761831375,0.4568252688971232,0.5013464229791034,0.5434447128447004,0.4444089229408494,0.7401381160743761,0.447595799243379,0.7192767460581504,1.1080669172023943,0.3944761865527585,0.40608980941462797,0.3512539826954999,0.43088324659769295,0.41364765632647116,0.46181172333845977,0.35730811413271135,0.3746378127596855,0.35755906615758537,0.33227653028348947,0.45171891349758,0.2392127313042987,0.2902198833083781,0.33802271764759834,0.2744984601241145,1.1988012710239184,1.3905265551103358,0.4210226738616315,0.4759441473049137,0.4748879983787277,0.40394867891586345,0.448496191847108,0.45023262666557307,0.4536494256279909,0.43964219425352435,0.37465953828060466,0.4379747580029181,0.5164811031679813,0.45754669754071786,0.48768974819703786,0.2296052952096044,0.4495202718592921,0.3328044786359626,0.3566259313672026,0.21016831182503593,0.49559454106826334,0.49208852667912917,0.4997337924708741,0.47035707171584284,0.18061979768161723,0.4506411615876468,0.9459829585888596,0.3783296340003419,0.476994120978274,0.47370312176921525,0.17926071673280705,0.5112077933866497,0.977898292414409,0.4311853219696582,0.26325373262970414,0.27829771176222173,0.23226173876162756,0.497920474992327,0.4947851085776251
min,219521.0,111116204.0,0.10365560851443,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,3964293.0,136042957.0,0.499135986290538,1.0,27.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
50%,8898969.0,161058680.0,0.818747447523679,2.0,39.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
75%,29377302.0,185912048.0,1.30377969445394,2.0,55.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
max,1112633472.0,211109994.0,4.70248005171934,2.0,99.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0
