Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.396228939908 (0.0168006723858),0.562842313524 (0.015856511521),0.727237142622 (0.00538689559562),0.37258600731 (0.0110746485065),0.140851310075 (0.00793153136808),0.0544348036731 (0.00461164300791),0.271473063113 (0.00196192216281),0.0948499480772 (0.00763005930496),0.28002857665 (0.00890840800626),0.273585017652 (0.00590330103746),0.443236536228 (0.00752257838742),0.280213356018 (0.0156359321376),0.297378484076 (0.0027902711437),0.40753121075 (0.00252648841858),0.0109639962514 (0.000160190594875),0.336700328486 (0.00331291538694),0.174473831464 (0.00400174404782),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.308998869739 (0.00327233965799),0.224353172347 (0.00809836763825),0.633422290622 (0.0110681042318),0.0856537408504 (0.00508901855457),0.213027000419 (0.0029763597244),0.368881176787 (0.0203581064762),0.926006666667 (0.000878534132645),0.34384529871 (0.0026240521676)
0.438037789182 (0.00747109018409),0.565713474331 (0.00335419985301),0.731209292763 (0.000422667566458),0.389460395992 (0.0116771700609),0.14502205791 (0.00869934240382),0.0520003682687 (0.00758424222445),0.277033971455 (0.00382045541926),0.0920053618864 (0.0121203574496),0.267291982757 (0.00789003735003),0.271120229899 (0.00170495340156),0.449644636484 (0.00397867163328),0.27201851209 (0.03615091201),0.301361457267 (0.00482093087216),0.400647805187 (0.00498108982568),0.010541677475 (0.000202973341388),0.342800618772 (0.00205280383216),0.171537284592 (0.00135481331279),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.311601301685 (0.00407219701476),0.204024630005 (0.0120775261592),0.646485896235 (0.0085888486322),0.0870030560733 (0.00639201335138),0.215028883306 (0.00355484685587),0.404206063098 (0.0206727126575),0.928793333333 (0.000504997249717),0.343959409045 (0.00408706368695)
0.380430082243 (0.0139329456088),0.555892643648 (0.0135536735736),0.722971176461 (0.00624968913808),0.349338377123 (0.0147044678276),0.16035092631 (0.00342317049468),0.0646456629696 (0.00286722665604),0.248183089068 (0.00879187058694),0.108686649815 (0.004244309393),0.275197436374 (0.00191767039848),0.27337581632 (0.00489522591737),0.46256226364 (0.00807058419512),0.349652131399 (0.02915893047),0.27299080151 (0.0122660029464),0.412303368645 (0.011359310283),0.0116854508718 (8.67298354323e-05),0.322994285858 (0.00903964690102),0.177092914646 (0.00340171908505),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.295846033593 (0.00565190618249),0.227321352107 (0.00378735522113),0.599190980085 (0.0107112757607),0.101634158124 (0.002722637247),0.201563283683 (0.00355915797311),0.34134890058 (0.00574482990071),0.924513333333 (0.00116393967007),0.328462558121 (0.0124814853725)
0.371318185563 (0.0150737769233),0.554869445979 (0.00369304661151),0.722238654613 (0.00411714097615),0.343901762879 (0.0085627254996),0.152823032105 (0.00490077200301),0.0623142331698 (0.00486199096993),0.246465277771 (0.00399608222249),0.105274013495 (0.00741415503706),0.271137506308 (0.00219952933757),0.267380861219 (0.00188530598029),0.448442183347 (0.00187187518763),0.252562125524 (0.0240871093472),0.268644098687 (0.00429807674283),0.405142798129 (0.00118405439655),0.0116837819417 (8.10179713754e-05),0.318071910465 (0.00289715639412),0.171632025361 (0.000629830861015),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=20, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.291560771621 (0.00102630100368),0.223938564044 (0.00436061269692),0.604871511348 (0.0114426063363),0.0962340471746 (0.00319268475957),0.197739691361 (0.00141748631533),0.339774535041 (0.0104737440842),0.924506666667 (0.00129885419591),0.323043715213 (0.00296657008899)
0.540701357853 (0.0827592860055),0.616335331397 (0.0164909717637),0.823722550091 (0.00671917981674),0.538531917879 (0.0335316866088),0.0471245306577 (0.0172725311598),0.00946263157572 (0.00463349125807),0.357643976781 (0.00719503036429),0.0185704380554 (0.00902368268739),0.23919583141 (0.0240406981176),0.287507688662 (0.00459619762375),0.449259695352 (0.0238090889709),0.118656635284 (0.00548064652919),0.39988340855 (0.015611619855),0.389195827777 (0.0292156096427),0.00686073303223 (0.000193189776777),0.398122977067 (0.0136371054768),0.177685542552 (0.00461658788133),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.365150906124 (0.0197501559693),0.153911958931 (0.0173900478142),0.754533881289 (0.0211412990897),0.0246912836712 (0.00926896673068),0.260417765343 (0.0226621217081),0.52039876113 (0.135135356711),0.934873333333 (0.000810815775761),0.393364175667 (0.0110472785384)
0.570339373756 (0.0481035677747),0.59538678115 (0.0180222279305),0.821510828756 (0.0184337253973),0.513271560856 (0.0213046697045),0.044061038088 (0.00587146644229),0.00727921983733 (0.00246295784533),0.352914261039 (0.0187746497823),0.0143254712345 (0.00475230102027),0.212145677628 (0.0189055126695),0.283583862778 (0.00469913754635),0.457519221113 (0.037308285708),0.106479883194 (0.00870476097675),0.374934371322 (0.0186212732232),0.395502276687 (0.0397990179304),0.00680859883626 (0.000120253177952),0.398234931989 (0.024797965382),0.174429769731 (0.00634852795839),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.370570855461 (0.019319364368),0.133899788039 (0.0139466059906),0.764938565455 (0.0538394098959),0.0229510898993 (0.00320655866919),0.269614510158 (0.0207389131672),0.531457955233 (0.0640044394266),0.93398 (0.00104855456065),0.384677931317 (0.0287477572275)
0.435806066362 (0.0516746256712),0.618875677253 (0.00698602102888),0.782783028441 (0.00675735160571),0.428852013335 (0.0112824137719),0.0904554912385 (0.0174872700052),0.0212587644288 (0.00399372711607),0.300692806628 (0.0104968535992),0.0401017946358 (0.00725315971963),0.27619036844 (0.00723151766147),0.279426025695 (0.00559285953421),0.477765031254 (0.00195647986947),0.199909607569 (0.00165875384569),0.330310203012 (0.0119741092127),0.420698684271 (0.00716980772047),0.0103800296783 (0.000120216564556),0.368961524108 (0.00749158270883),0.173494704367 (0.00421222025589),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.327386660918 (0.00748497661144),0.203790949926 (0.00712277153648),0.717821005028 (0.00268928738752),0.0505631543986 (0.0102585826813),0.222585835435 (0.00618793986449),0.360185816041 (0.0429491972873),0.930533333333 (0.000429676881182),0.370030550644 (0.0102665283695)
0.463156416796 (0.0523637244346),0.615417368353 (0.0164754195963),0.786486778279 (0.00704445021529),0.445467419049 (0.0183110120342),0.0842759967792 (0.00612345972694),0.0204300287675 (0.0051864085274),0.308762773165 (0.00990860275102),0.0387580244178 (0.00983782137345),0.260781800227 (0.0145184855474),0.274758053207 (0.0074085597068),0.479197245652 (0.0110981528391),0.162062009176 (0.00361450315138),0.337921694213 (0.0113102205544),0.425355229059 (0.00756927518464),0.0102376143138 (0.000106320845934),0.375529847211 (0.0105310910714),0.16985151325 (0.00515327240173),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.3312598491 (0.0083103613924),0.184558348737 (0.0126869931831),0.718791811903 (0.0100751608197),0.0463669046062 (0.00320170351204),0.226628356302 (0.00566934076103),0.376899880325 (0.0955810252347),0.931673333333 (0.000953356643072),0.376604321361 (0.0099100676578)
0.441799144662 (0.0278759327698),0.620592234747 (0.00282060447548),0.779290638949 (0.00211942976652),0.433734900642 (0.0167222031076),0.105995164062 (0.011831232283),0.0313120913076 (0.00449199864016),0.289747864313 (0.00447363445483),0.0578306002831 (0.0077325826361),0.275604954848 (0.000583996272322),0.265777611834 (0.00360223860994),0.479048024204 (0.00280308548115),0.226405382156 (0.021542128813),0.323825663165 (0.00828781459215),0.422617084728 (0.00311349877309),0.0110363960266 (0.000130034113786),0.361083245885 (0.00422442927058),0.163453560092 (0.0025850925198),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.312492545569 (0.00167206305653),0.202189333357 (0.00407638737377),0.710743735347 (0.00277916141814),0.060328078155 (0.00754932291685),0.208827001396 (0.00161173079479),0.383024422506 (0.0127695469657),0.93096 (0.000903474773675),0.366624994678 (0.0056658746947)
0.405874032201 (0.00889061341575),0.62686598004 (0.00483743780279),0.778491022292 (0.00313129597949),0.42610986125 (0.0111366297898),0.0821818047528 (0.00727281306077),0.0237203000703 (0.00351271958804),0.291899932734 (0.000339822916293),0.0442518489581 (0.00624402278322),0.261579717322 (0.00111708588833),0.263432088999 (0.00231400055675),0.485461127896 (0.0121918152328),0.172984441121 (0.00472099168492),0.327753293527 (0.00146082077818),0.423109862935 (0.00391404511923),0.0111200809479 (0.000249658369425),0.364523050836 (0.00322721404636),0.16172526349 (0.00181509653113),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.313140836262 (0.00211198439759),0.188821198934 (0.00325013297297),0.709959787209 (0.00380265696297),0.0457706553892 (0.00453866663309),0.208699474726 (0.00160118997018),0.334363117871 (0.0184116139674),0.930713333333 (0.000645256193737),0.36936185147 (0.00108918066034)
0.570018262545 (0.0174397548888),0.638987868591 (0.0294617775261),0.827585397291 (0.00823232916048),0.515260215479 (0.0270383150832),0.065098669821 (0.0133245937761),0.0154558511837 (0.00749238074537),0.369236734329 (0.0185998753651),0.029919509023 (0.014174233467),0.244605361747 (0.0212743326698),0.276116937202 (0.00807555089511),0.460713182188 (0.0185845626814),0.149214188258 (0.00709803251166),0.397886849045 (0.0177798646979),0.414722692332 (0.0223297265),0.00698312123617 (0.000227033110447),0.409845165338 (0.0178555408601),0.167359995768 (0.00564600461852),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.353596849001 (0.00162564848442),0.16060767136 (0.016428343815),0.789267199676 (0.0157630994121),0.0346188881354 (0.00750696492599),0.244677591022 (0.00367559191539),0.535915389831 (0.0675484067589),0.934086666667 (0.000807355078155),0.405798629212 (0.0163108724657)
0.521429653188 (0.04970162483),0.628741529349 (0.0241583507566),0.827896499768 (0.00330746032308),0.526798712643 (0.0411179900689),0.0311273049795 (0.0107009289513),0.009483187076 (0.00160330607757),0.343230172125 (0.0151767996768),0.0186268066177 (0.00309380510543),0.197105239712 (0.011595838708),0.279778854848 (0.000721859205362),0.478830063162 (0.0146521450519),0.154366334279 (0.00876467933127),0.392116974269 (0.00600151566651),0.390957157488 (0.0324616694196),0.00696627298991 (9.08009332392e-05),0.399433869366 (0.00884672240671),0.170011469888 (0.000133970827309),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.364754079065 (0.0131583825921),0.121801904757 (0.0105465889251),0.789616504436 (0.00868564167699),0.0160864464916 (0.00568202865018),0.257418413245 (0.0144595339597),0.533888888889 (0.0251047189504),0.93386 (0.000797161631457),0.390827771721 (0.0157544206502)
0.474840668591 (0.0128084167356),0.627231750544 (0.0101261331717),0.78105797547 (0.00308546478078),0.454479685688 (0.0112434648623),0.103635500592 (0.00670068026792),0.0287950224911 (0.00597000835868),0.313019379469 (0.00600232420034),0.0536774761038 (0.0106680598419),0.277138158591 (0.0106482106641),0.278856294828 (0.00241354465808),0.484426290399 (0.00643745523896),0.286405563354 (0.00907109394404),0.346903743837 (0.00963208934928),0.424082147364 (0.00765824785554),0.0103770891825 (0.000139215400998),0.38022452601 (0.00359662274452),0.173009327815 (0.00230907947143),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.334954245281 (0.00391490676469),0.199607415857 (0.0111746263883),0.718690192198 (0.0086043381224),0.0582267417429 (0.00434542987313),0.228570273418 (0.00495408998905),0.403816539993 (0.0315358751463),0.931506666667 (0.00096641376002),0.381452121477 (0.00391345933253)
0.406841394022 (0.0143548376097),0.626994367856 (0.0163429960128),0.780236377021 (0.00869057575082),0.436834031615 (0.0101095260715),0.0724843572587 (0.00524032841478),0.0176657315753 (0.00242373274107),0.297518873432 (0.00228547250127),0.0334694381085 (0.00442327245377),0.258590062548 (0.006345066534),0.273419870202 (0.0026186009734),0.473675940568 (0.0156229552308),0.226274410884 (0.00232146884009),0.329190485862 (0.00518872126523),0.4202024555 (0.0105450925618),0.0103492736816 (0.00013114770137),0.365372246766 (0.0046414399252),0.168797541678 (0.00142526977323),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.321216656621 (0.00345601277598),0.18386171587 (0.00778987825452),0.719536908817 (0.0187834624451),0.0397980666014 (0.00305714374419),0.215941901282 (0.00127790787657),0.320398805179 (0.0181807025565),0.93066 (0.000392258418223),0.369160374164 (0.00728664472785)
0.460121027786 (0.028978674633),0.62483163911 (0.00854894855088),0.776465236127 (0.00522929836971),0.434297378153 (0.00901461324025),0.106079732075 (0.0190520194251),0.0309076984781 (0.00263467384307),0.29640522265 (0.00151538328119),0.0573696480616 (0.00475225324109),0.277522604652 (0.00563212968472),0.267834466036 (0.00622268336407),0.492996279218 (0.00939735085659),0.28647740682 (0.0199551122259),0.326024960107 (0.0026878053495),0.435284513888 (0.0106726312351),0.0108304023743 (1.78745044578e-05),0.370183755504 (0.00260678358346),0.165568084231 (0.00426823333493),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.316280965141 (0.00467287005107),0.203979419496 (0.00549173286924),0.700634640608 (0.00867509536667),0.0600856109226 (0.0116860761313),0.211729413973 (0.00327935983127),0.39961109403 (0.0232593525224),0.93084 (0.000681957965469),0.372717070582 (0.00220234493497)
0.406459856512 (0.0254938657859),0.635202856617 (0.0106630213048),0.77758060893 (0.00359775176714),0.43660076458 (0.0163936618416),0.0873311983999 (0.0180610065458),0.0255310112425 (0.00519624325895),0.285427433266 (0.000481385482163),0.0474254568066 (0.00919287531204),0.269731320616 (0.00690571299883),0.268439901948 (0.00705992369406),0.49086759631 (0.0109807265587),0.254740715027 (0.0137213123335),0.323533857442 (0.00821659186317),0.431143972175 (0.00749378729196),0.0110916296641 (8.73383225809e-05),0.360923679573 (0.00317990272276),0.165298983021 (0.00511411341448),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=50, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.318450959413 (0.0043342493255),0.195207764441 (0.00497515669654),0.714392006909 (0.0124567549461),0.0490715912361 (0.0108837925504),0.212503332979 (0.00312374220519),0.340467828417 (0.0182088213387),0.93086 (0.000806143080766),0.369621264669 (0.00712277753517)
