,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,classifier,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
10,0.572502522048 (0.00588360841944),0.93314 (0.00034756294394),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.06684 (0.000342150064543),0.166666666667 (0.235702260396),0.0 (0.0),0.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),1.0 (0.0),0.000199183348272 (0.000281687792525),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),0.125304445145 (0.000601320065899),nan (nan),nan (nan),nan (nan),0.00413219134013 (6.56964210527e-05),0.0605161984762 (0.000717105495745)
11,0.572582162662 (0.00584062507349),0.93316 (0.000342150064543),0.0745829062351 (0.00108142981746),0.0875953702798 (0.00142665433033),0.0912763456736 (0.00141641526737),0.0871895476267 (0.00223456321338),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.779565848746 (0.0124763182402),0.460191891758 (0.00676465558373),0.238561472865 (0.00379169719787),0.142406954383 (0.00484850911471),0.0 (0.0),0.0 (0.0),0.0 (0.0),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.136140458195 (0.00197817383854),0.147174807404 (0.00231189137566),0.132034686165 (0.00206216033091),0.108155772189 (0.00310546928053),nan (nan),nan (nan),nan (nan),0.00427865982056 (0.000128219700119),0.09161790212 (0.000704262340973)
12,0.828542832921 (0.00181012641319),0.7606 (0.00129316150061),0.0668408960358 (0.000343093891279),0.0683016581353 (0.00035122979608),0.0912022118198 (0.000479946056407),0.107641510209 (0.00104178544021),0.182578814802 (0.00141883454154),0.31694635405 (0.00580522057905),0.499980432141 (0.0149706072146),1.0 (0.0),0.997805799164 (0.000138990138467),0.95870508288 (0.00417417932869),0.927399194431 (0.00241240533507),0.742470434957 (0.00343407685181),0.436630959076 (0.00663804861381),0.204724046014 (0.011836444402),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12530601863 (0.000602977200062),0.127851421576 (0.000614171925417),0.166558467283 (0.000756715692874),0.192891522918 (0.00162473111248),0.293085033901 (0.00207775948582),0.367191520148 (0.00222190183756),0.290312520166 (0.0131269303881),0.00389234224955 (0.000115602337373),5.31967433294 (1.02771079679)
13,0.804775115856 (0.00287286877986),0.934213333333 (0.000333199973323),0.151818184836 (0.00203112164355),0.198617897547 (0.00361647701449),0.299017736298 (0.0103299303249),0.398512744124 (0.0150626751172),0.594171614996 (0.00306105269184),0.647067491895 (0.0193723873915),0.551948051948 (0.127356629293),0.784564953683 (0.00216243049055),0.623780495233 (0.00234375095162),0.362337341306 (0.00497892648984),0.242458669503 (0.00512671078092),0.049763489046 (0.00153982794585),0.00468815594409 (0.000785721798286),0.00129328953003 (0.000778386263445),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.254401233133 (0.00287861006645),0.301273446783 (0.00390676200103),0.327596866721 (0.00797093671997),0.301465797353 (0.00823165148666),0.0918269888955 (0.00259109839705),0.00930642357894 (0.00154871461406),0.002579668799 (0.0015506000699),0.00400924682617 (0.000122326622783),3.43542893728 (0.604718464)
14,0.828573677033 (0.00172018917912),0.760613333333 (0.00121615057547),0.06684 (0.000342150064543),0.0683383415577 (0.000368713736439),0.0911369927049 (0.000472975077676),0.107565809455 (0.00106936106208),0.182540783412 (0.00134847395504),0.317390979931 (0.0045604723661),0.499040071679 (0.0154982564647),1.0 (0.0),0.99800543737 (0.000279902904672),0.959103904435 (0.00404032478546),0.927299602757 (0.00251315107157),0.742169069853 (0.00266474539211),0.436229686506 (0.00711766346226),0.204724046014 (0.011836444402),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.12791729407 (0.00064366033887),0.166455778116 (0.000749258293541),0.19276763377 (0.00166605093126),0.293012406584 (0.00193048460913),0.367368237316 (0.00215688961768),0.2901505025 (0.0131497777808),0.00419155756632 (0.000113395100095),1.25197720528 (0.119886133722)
15,0.803870884222 (0.00297141195543),0.934173333333 (0.000319304800395),0.151305051658 (0.00241142846685),0.199040550131 (0.00327743278163),0.30018884785 (0.00965745241066),0.396318970829 (0.0200342630868),0.586796731337 (0.00108462861283),0.585747126437 (0.0511193247348),0.567424242424 (0.145647756777),0.784866002995 (0.00382757468923),0.622079420269 (0.00210019503367),0.359144216449 (0.00432919010912),0.242860049266 (0.00231472235307),0.0512586591988 (0.00265340705597),0.00488649910952 (0.00036044139564),0.00139372138701 (0.000698084556085),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.253694130828 (0.00345618001314),0.301566792077 (0.00362425244913),0.326926915683 (0.00588042629832),0.301013570993 (0.00703219011764),0.0942621048232 (0.00447745401444),0.00969170098038 (0.000712848324198),0.00277993192466 (0.00139049558566),0.00427254041036 (0.000148762537162),1.1707470417 (0.120144788623)
16,0.828525928191 (0.00180239763104),0.760533333333 (0.00133029654171),0.0668408960358 (0.000343093891279),0.0683084734567 (0.000340912015244),0.0911642450149 (0.000502245588172),0.107569469685 (0.00106015858564),0.182565511706 (0.00142074433559),0.316154141704 (0.0049693561423),0.499373892114 (0.0139620509286),1.0 (0.0),0.997906231021 (0.000237889200876),0.95870508288 (0.00417417932869),0.927399194431 (0.00241240533507),0.742670458488 (0.00334742339605),0.436130480157 (0.00700082402815),0.204422750443 (0.011513599105),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.12530601863 (0.000602977200062),0.127864189999 (0.000595254202906),0.166495115066 (0.000795952936244),0.192775749661 (0.00165362228857),0.293083419566 (0.0020725012484),0.366493596582 (0.00192537689817),0.289908270174 (0.0126090889159),0.0039583047231 (0.000161143956816),2.29873379072 (0.933614809016)
17,0.801887932218 (0.0034790338495),0.933453333333 (0.000417718671942),0.148065529591 (0.00174918620513),0.19552641198 (0.00343073858483),0.27010399726 (0.00955557491708),0.335317925324 (0.0286884450906),0.564031054648 (0.0452270416053),0.448795648796 (0.0357919991313),0.333333333333 (0.471404520791),0.788054263482 (0.00393798144533),0.644397875256 (0.00548763159148),0.366343458523 (0.0112724384519),0.201198164042 (0.0236313058583),0.0200777765086 (0.00626474657464),0.0023944706265 (0.00175822941176),0.000100431856985 (0.000142032094243),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.249290009192 (0.00264536804498),0.299997959566 (0.00405398755685),0.310685383187 (0.00501039388918),0.251313364561 (0.0260870438203),0.0386456226626 (0.0115962152742),0.00475253449279 (0.00347641399767),nan (nan),0.00402069091797 (0.000139983315502),0.39732559522 (0.217512517864)
18,0.828025034768 (0.00113621634742),0.760613333333 (0.00131699995782),0.0668408888178 (0.000341685788401),0.0685128451734 (0.000386520804369),0.0899950743377 (0.00166316480927),0.106114469061 (0.00251949472407),0.182557345355 (0.00141683314593),0.320478431575 (0.00775975756676),0.508621022598 (0.0149385185713),1.0 (0.0),0.997703371149 (0.000790247520379),0.960002048933 (0.00444222680305),0.928195997357 (0.00199924133296),0.742273247766 (0.00325159037012),0.431022112762 (0.011842067931),0.200187107676 (0.00906554996765),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.125306007534 (0.000600503412806),0.128220391808 (0.000671040890098),0.164557793579 (0.00276222106932),0.190443680204 (0.00402300176501),0.293041764116 (0.00204826801766),0.367380378608 (0.00104963389691),0.287033638672 (0.00798408989835),0.00417232513428 (0.0001433109203),0.697244723638 (0.0680361683702)
19,0.657122194667 (0.00365341111006),0.93312 (0.00031496031496),0.0929547527798 (0.00134685911956),0.114087042355 (0.00180168126842),0.144152625619 (0.00818829037587),0.213684441268 (0.0331148442838),0.487834578276 (0.0250077185509),0.149425287356 (0.211319267941),0.1 (0.141421356237),0.767997433585 (0.0096555600795),0.365745908478 (0.0104360727854),0.0560811758927 (0.00580963390414),0.0166598021727 (0.000914545194564),0.00948602341649 (0.00208801643382),0.00261122828161 (0.00369283445031),0.000903886712865 (0.00127828884818),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.165831534666 (0.00215493787817),0.173902402298 (0.0028393943484),0.0806948390348 (0.00726351766276),0.0308589702809 (0.00160137319092),0.0185898219514 (0.00400409384664),nan (nan),nan (nan),0.00430130958557 (0.000149007224972),0.359678109487 (0.0237889657553)
